dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
충주,20220728,0.0128,17954784,25917494.4,1714.5165,62.35,75.4,26.7,1.7,16.2,1789
충주,20220729,0.1684,15383952,21601641.6,1708.2988,62.12,70.5,29.2,1.5,17,1789
충주,20220730,0.094,12393216,12960432,1707.7316,62.1,71.5,28.6,1.9,13.4,1789
충주,20220731,14.8122,11752214.4,12959049.6,1706.5248,62.06,80.1,26.9,2.1,4.1,1789
합천,20220701,0,217468.8,1495152,253.0954,32.04,71.5,27.8,1.2,24.64,560
합천,20220702,0,174873.6,1373673.6,251.8966,31.89,70,27.6,0.9,26.99,560
합천,20220703,0,151545.6,1372118.4,250.6761,31.73,64.5,28.5,1,23.2,560
합천,20220704,0,131500.8,1372291.2,249.4352,31.57,79,26.7,0.6,14.92,560
합천,20220705,0,120182.4,1418342.4,248.1371,31.41,75.3,27.7,0.7,2.5,560
합천,20220706,0.2422,105667.2,1451952,246.7909,31.24,72.8,28.4,1,4,560
합천,20220707,0,10540.8,1450742.4,245.3506,31.06,72.3,28.7,1.6,5.2,560
합천,20220708,1.7304,108950.4,1451779.2,244.0078,30.89,79.1,28,1.2,3.3,560
합천,20220709,0,115084.8,1451606.4,242.6713,30.72,67.1,28.2,0.9,8.5,560
합천,20220710,0,83203.2,1452384,241.3021,30.54,70.8,28.3,1.1,7.7,560
합천,20220711,12.2311,434505.6,1501977.6,240.2345,30.41,85.9,25.6,0.5,1.5,560
합천,20220712,0.5679,419212.8,1530662.4,239.1231,30.27,85.1,25.9,0.5,0.6,560
합천,20220713,4.0979,1296,1531612.8,237.5928,30.08,85.6,24.1,0.6,7.57,560
합천,20220714,3.0807,173750.4,1531872,236.2346,29.9,73.4,27.5,0.8,4.7,560
합천,20220715,0,153964.8,1531094.4,234.8575,29.73,65.6,26.8,0.7,13.1,560
합천,20220716,0,63676.8,1160438.4,233.7607,29.59,64,26.5,0.9,21.48,560
합천,20220717,0,10540.8,1160352,232.611,29.44,66,26.7,1.1,19.79,560
합천,20220718,58.3893,2751494.4,1162339.2,234.2001,29.7,93.6,22.3,0.5,3.15,560
합천,20220719,0.6133,2882649.6,1057276.8,236.0255,29.88,73.9,26.6,0.8,21.24,560
합천,20220720,0.2046,1156550.4,911520,236.2705,29.91,70.3,26.9,0.7,24.73,560
합천,20220721,8.0417,921369.6,911001.6,236.2809,29.91,80.1,24.8,1.1,0.5,560
합천,20220722,0.1628,641174.4,842313.6,236.0798,29.88,69.6,25.7,1,7.5,560
합천,20220723,0.776,549590.4,842918.4,235.7864,29.85,85.1,24.1,0.5,0.1,560
합천,20220724,6.4,578966.4,842054.4,235.5234,29.81,79.9,26.1,0.7,3.5,560
합천,20220725,0,476150.4,842659.2,235.1568,29.77,73.3,27.7,0.6,25.27,560
합천,20220726,0,488073.6,842659.2,234.8023,29.72,76,27,0.7,5.2,560
합천,20220727,0,254707.2,843091.2,234.2139,29.65,70.1,26.7,0.9,7.7,560
합천,20220728,0,213580.8,843177.6,233.5843,29.57,80.1,26.3,0.5,1.8,560
합천,20220729,0,121392,843350.4,232.8623,29.48,75,28.2,0.8,7.7,560
합천,20220730,0,155779.2,840672,232.1774,29.4,76.5,27.6,1,1.4,560
합천,20220731,45.4063,1473206.4,647740.8,233.0029,29.49,91.6,25.6,0.8,6.87,560
횡성,20220701,0,3079296,167270.4,41.3926,47.63,78,25.8,0.9,22.98,73.4
횡성,20220702,0,1240272,173318.4,42.4596,48.86,76,26.5,1,24.86,73.4
횡성,20220703,0,674352,172886.4,42.961,49.44,72.3,27.1,1.1,25.77,73.4
횡성,20220704,1.8329,555724.8,167356.8,43.3493,49.88,78.8,26.6,1,17.96,73.4
횡성,20220705,1.9125,398649.6,164505.6,43.5835,50.15,82.8,26,1,3.4,73.4
횡성,20220706,0,361497.6,165801.6,43.7792,50.38,76.9,27.4,1,3.5,73.4
횡성,20220707,8.3402,327456,170467.2,43.9362,50.56,78,27.8,1.4,2.5,73.4
횡성,20220708,16.0867,598838.4,165196.8,44.3698,51.06,83,25.5,1.1,1.8,73.4
횡성,20220709,0,402796.8,165110.4,44.6075,51.33,81.5,26.5,0.9,4.5,73.4
횡성,20220710,29.2961,442022.4,163641.6,44.8859,51.65,75.1,27.9,1,7.3,73.4
횡성,20220711,47.4042,4184611.2,166320,48.9042,56.28,81,24.6,1.1,2.6,73.4
횡성,20220712,0,1696464,162777.6,50.4379,58.04,73.4,25,1,6.1,73.4
횡성,20220713,73.1088,2631225.6,164937.6,52.9041,60.88,91.1,22.8,1,3.65,73.4
횡성,20220714,4.8506,5692291.2,162000,58.4344,67.24,85.3,24.5,0.9,3.6,73.4
횡성,20220715,19.2205,2432419.2,180835.2,60.686,69.83,79.4,24,1,6.6,73.4
횡성,20220716,0,1660176,214790.4,62.1314,71.5,88.5,22.5,0.9,2.2,73.4
횡성,20220717,2.9981,1056153.6,210988.8,62.9765,72.47,84.9,23.9,0.9,1.5,73.4
횡성,20220718,0,855360,211420.8,63.6205,73.21,79.1,25,1,2.8,73.4
횡성,20220719,3.4426,662256,213840,64.0689,73.73,83,25,0.8,4.7,73.4
횡성,20220720,1.0001,588384,288316.8,64.369,74.07,78.6,25.5,0.9,3.8,73.4
횡성,20220721,18.4272,779846.4,378259.2,64.7706,74.53,92.6,21.9,1.1,6.29,73.4
횡성,20220722,4.4258,919555.2,566784,65.1233,74.94,86.3,23.1,0.7,3.2,73.4
횡성,20220723,26.1303,908496,812505.6,65.2193,75.05,86.4,23.4,0.9,0.6,73.4
횡성,20220724,11.9981,2083536,807408,66.4954,76.52,88.4,23.9,0.9,1.3,73.4
횡성,20220725,0,1381017.6,816825.6,67.0596,77.17,76.3,26.5,1,19.01,73.4
횡성,20220726,0,871257.6,819849.6,67.1111,77.23,75.1,26.8,1,8.8,73.4
